Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
2.055,11.885,2019,2,9,12,0,,,,,,,,,,,,,
2.045,11.85,2019,2,9,15,0,,,,,,,,,,,,,
2.04,11.81,2019,2,9,18,0,,,,,,,,,,,,,
2.035,11.77,2019,2,9,21,0,,,,,,,,,,,,,
2.03,11.74,2019,2,10,0,0,,,,,,,,,,,,,
2.025,11.71,2019,2,10,3,0,,,,,,,,,,,,,
2.02,11.68,2019,2,10,6,0,,,,,,,,,,,,,
2.015,11.65,2019,2,10,9,0,,,,,,,,,,,,,
2.01,11.62,2019,2,10,12,0,,,,,,,,,,,,,
2.005,11.595,2019,2,10,15,0,,,,,,,,,,,,,
2,11.58,2019,2,10,18,0,,,,,,,,,,,,,
1.995,11.55,2019,2,10,21,0,,,,,,,,,,,,,
1.99,11.52,2019,2,11,0,0,,,,,,,,,,,,,
1.99,11.495,2019,2,11,3,0,,,,,,,,,,,,,
1.985,11.475,2019,2,11,6,0,,,,,,,,,,,,,
1.98,11.455,2019,2,11,9,0,,,,,,,,,,,,,
1.98,11.425,2019,2,11,12,0,,,,,,,,,,,,,
1.97,11.4,2019,2,11,15,0,,,,,,,,,,,,,
1.97,11.36,2019,2,11,18,0,,,,,,,,,,,,,
1.965,11.33,2019,2,11,21,0,,,,,,,,,,,,,
1.96,11.3,2019,2,12,0,0,,,,,,,,,,,,,
1.96,11.28,2019,2,12,3,0,,,,,,,,,,,,,
1.955,11.255,2019,2,12,6,0,,,,,,,,,,,,,
1.95,11.215,2019,2,12,9,0,,,,,,,,,,,,,
1.95,11.195,2019,2,12,12,0,,,,,,,,,,,,,
1.945,11.17,2019,2,12,15,0,,,,,,,,,,,,,
1.94,11.145,2019,2,12,18,0,,,,,,,,,,,,,
1.94,11.12,2019,2,12,21,0,,,,,,,,,,,,,
1.935,11.09,2019,2,13,0,0,,,,,,,,,,,,,
1.93,11.065,2019,2,13,3,0,,,,,,,,,,,,,
1.925,11.04,2019,2,13,6,0,,,,,,,,,,,,,
1.92,11.01,2019,2,13,9,0,,,,,,,,,,,,,
1.92,10.985,2019,2,13,12,0,,,,,,,,,,,,,
1.915,10.96,2019,2,13,15,0,,,,,,,,,,,,,
1.91,10.93,2019,2,13,18,0,,,,,,,,,,,,,
1.91,10.9,2019,2,13,21,0,,,,,,,,,,,,,
1.905,10.88,2019,2,14,0,0,,,,,,,,,,,,,
1.9,10.855,2019,2,14,3,0,,,,,,,,,,,,,
1.9,10.83,2019,2,14,6,0,,,,,,,,,,,,,
1.895,10.8,2019,2,14,9,0,,,,,,,,,,,,,
1.89,10.78,2019,2,14,12,0,,,,,,,,,,,,,
1.89,10.75,2019,2,14,15,0,,,,,,,,,,,,,
1.885,10.72,2019,2,14,18,0,,,,,,,,,,,,,
1.88,10.69,2019,2,14,21,0,,,,,,,,,,,,,
1.88,10.655,2019,2,15,0,0,,,,,,,,,,,,,
1.875,10.61,2019,2,15,3,0,,,,,,,,,,,,,
1.87,10.575,2019,2,15,6,0,,,,,,,,,,,,,
1.87,10.535,2019,2,15,9,0,,,,,,,,,,,,,
1.87,10.5,2019,2,15,12,0,,,,,,,,,,,,,
1.86,10.46,2019,2,15,15,0,,,,,,,,,,,,,
1.86,10.415,2019,2,15,18,0,,,,,,,,,,,,,
1.86,10.375,2019,2,15,21,0,,,,,,,,,,,,,
1.855,10.335,2019,2,16,0,0,,,,,,,,,,,,,
1.85,10.295,2019,2,16,3,0,,,,,,,,,,,,,
1.85,10.255,2019,2,16,6,0,,,,,,,,,,,,,
1.845,10.215,2019,2,16,9,0,,,,,,,,,,,,,
1.84,10.165,2019,2,16,12,0,,,,,,,,,,,,,
1.84,10.12,2019,2,16,15,0,,,,,,,,,,,,,
1.84,10.07,2019,2,16,18,0,,,,,,,,,,,,,
1.835,10.02,2019,2,16,21,0,,,,,,,,,,,,,
1.83,9.985,2019,2,17,0,0,,,,,,,,,,,,,
1.83,9.97,2019,2,17,3,0,,,,,,,,,,,,,
1.83,9.945,2019,2,17,6,0,,,,,,,,,,,,,
1.83,9.93,2019,2,17,9,0,,,,,,,,,,,,,
1.83,9.91,2019,2,17,12,0,,,,,,,,,,,,,
1.825,9.89,2019,2,17,15,0,,,,,,,,,,,,,
1.82,9.87,2019,2,17,18,0,,,,,,,,,,,,,
1.82,9.855,2019,2,17,21,0,,,,,,,,,,,,,
1.82,9.84,2019,2,18,0,0,,,,,,,,,,,,,
1.815,9.82,2019,2,18,3,0,,,,,,,,,,,,,
1.81,9.8,2019,2,18,6,0,,,,,,,,,,,,,
1.81,9.785,2019,2,18,9,0,,,,,,,,,,,,,
1.81,9.765,2019,2,18,12,0,,,,,,,,,,,,,
